Record Date,Electronic Category Description,Channel Type Description,Tax Category Description,Net Collections Amount,Electronic Category ID,Channel Type ID,Tax Category ID,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-12-30,Non-Electronic,Mail,Non-Tax,211.84,4,2,1,1,2025,1,2024,4,12,30
2024-12-30,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,19973.12,3,1,1,2,2025,1,2024,4,12,30
2024-12-30,Non-Electronic,Over-the-Counter (OTC),Non-Tax,10964253.95,4,1,1,3,2025,1,2024,4,12,30
2024-12-30,Fully Electronic - All,Bank,IRS Tax,2341201.73,1,5,3,4,2025,1,2024,4,12,30
2024-12-30,Non-Electronic,Over-the-Counter (OTC),IRS Tax,14247547.02,4,1,3,5,2025,1,2024,4,12,30
2024-12-30,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,49125.69,2,1,2,6,2025,1,2024,4,12,30
2024-12-30,Fully Electronic - All,Internet,IRS Non-Tax,822414.80,1,3,2,7,2025,1,2024,4,12,30
2024-12-30,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,118456451.55,2,1,1,8,2025,1,2024,4,12,30
2024-12-30,Fully Electronic - All,Bank,Non-Tax,1783224157.19,1,5,1,9,2025,1,2024,4,12,30
2024-12-30,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,105060358.15,2,1,3,10,2025,1,2024,4,12,30
2024-12-30,Electronic Settlement,Mail,Non-Tax,74667293.62,3,2,1,11,2025,1,2024,4,12,30
2024-12-30,Electronic Settlement,Mail,IRS Tax,834944900.34,3,2,3,12,2025,1,2024,4,12,30
2024-12-30,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,46344020.93,1,1,1,13,2025,1,2024,4,12,30
2024-12-30,Fully Electronic - All,Internet,Non-Tax,886614335.70,1,3,1,14,2025,1,2024,4,12,30
2024-12-30,Fully Electronic - All,Internet,IRS Tax,33229526224.32,1,3,3,15,2025,1,2024,4,12,30
2024-12-27,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,390156.41,3,1,1,1,2025,1,2024,4,12,27
2024-12-27,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,308710.89,2,1,2,3,2025,1,2024,4,12,27
2024-12-27,Fully Electronic - All,Internet,IRS Non-Tax,521997.59,1,3,2,5,2025,1,2024,4,12,27
2024-12-27,Non-Electronic,Over-the-Counter (OTC),Non-Tax,8559333.59,4,1,1,2,2025,1,2024,4,12,27
2024-12-27,Fully Electronic - All,Bank,Non-Tax,1714078489.13,1,5,1,6,2025,1,2024,4,12,27
2024-12-27,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,83354711.03,2,1,1,7,2025,1,2024,4,12,27
2024-12-27,Non-Electronic,Over-the-Counter (OTC),IRS Tax,227101.25,4,1,3,4,2025,1,2024,4,12,27
2024-12-27,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,151993602.15,2,1,3,8,2025,1,2024,4,12,27
2024-12-27,Electronic Settlement,Mail,Non-Tax,72299596.79,3,2,1,9,2025,1,2024,4,12,27
2024-12-27,Electronic Settlement,Mail,IRS Tax,851285783.43,3,2,3,10,2025,1,2024,4,12,27
2024-12-27,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,10872893.56,1,1,1,11,2025,1,2024,4,12,27
2024-12-27,Fully Electronic - All,Internet,Non-Tax,641959386.00,1,3,1,12,2025,1,2024,4,12,27
2024-12-27,Fully Electronic - All,Internet,IRS Tax,18266230923.91,1,3,3,13,2025,1,2024,4,12,27
2024-12-26,Non-Electronic,Mail,Non-Tax,299.94,4,2,1,1,2025,1,2024,4,12,26
2024-12-26,Non-Electronic,Over-the-Counter (OTC),Non-Tax,33447276.03,4,1,1,2,2025,1,2024,4,12,26
2024-12-26,Non-Electronic,Over-the-Counter (OTC),IRS Tax,401634.44,4,1,3,3,2025,1,2024,4,12,26
2024-12-26,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,-132.00,3,1,1,4,2025,1,2024,4,12,26
2024-12-26,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,-370.00,2,1,2,5,2025,1,2024,4,12,26
2024-12-26,Fully Electronic - All,Internet,IRS Non-Tax,226996.00,1,3,2,6,2025,1,2024,4,12,26
2024-12-26,Fully Electronic - All,Bank,Non-Tax,1000081903.51,1,5,1,7,2025,1,2024,4,12,26
2024-12-26,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,20800612.46,2,1,1,8,2025,1,2024,4,12,26
2024-12-26,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,-1437958.11,2,1,3,9,2025,1,2024,4,12,26
2024-12-26,Electronic Settlement,Mail,IRS Tax,1053361511.27,3,2,3,10,2025,1,2024,4,12,26
2024-12-26,Electronic Settlement,Mail,Non-Tax,151884904.25,3,2,1,11,2025,1,2024,4,12,26
2024-12-26,Fully Electronic - All,Over-the-Counter (OTC),Non-Tax,17133606.39,1,1,1,12,2025,1,2024,4,12,26
2024-12-26,Fully Electronic - All,Internet,Non-Tax,475429254.32,1,3,1,13,2025,1,2024,4,12,26
2024-12-26,Fully Electronic - All,Internet,IRS Tax,16647222146.05,1,3,3,14,2025,1,2024,4,12,26
2024-12-24,Fully Electronic - All,Bank,IRS Non-Tax,2367.29,1,5,2,3,2025,1,2024,4,12,24
2024-12-24,Non-Electronic,Over-the-Counter (OTC),IRS Tax,4028386.11,4,1,3,5,2025,1,2024,4,12,24
2024-12-24,Electronic Settlement,Over-the-Counter (OTC),Non-Tax,625125.74,3,1,1,1,2025,1,2024,4,12,24
2024-12-24,Non-Electronic,Over-the-Counter (OTC),Non-Tax,3347822.19,4,1,1,2,2025,1,2024,4,12,24
2024-12-24,Fully Electronic - All,Internet,IRS Non-Tax,736109.67,1,3,2,6,2025,1,2024,4,12,24
2024-12-24,Fully Electronic - FS,Over-the-Counter (OTC),IRS Non-Tax,160963.06,2,1,2,4,2025,1,2024,4,12,24
2024-12-24,Fully Electronic - All,Bank,Non-Tax,1747245740.03,1,5,1,7,2025,1,2024,4,12,24
2024-12-24,Fully Electronic - FS,Over-the-Counter (OTC),Non-Tax,91713839.22,2,1,1,8,2025,1,2024,4,12,24
2024-12-24,Fully Electronic - FS,Over-the-Counter (OTC),IRS Tax,150149950.49,2,1,3,9,2025,1,2024,4,12,24
2024-12-24,Electronic Settlement,Mail,IRS Tax,461913342.50,3,2,3,10,2025,1,2024,4,12,24
